c1 | 我来我来，印尼的扁杏仁巧克力，好吃停不住
c2 | 泰国金枕榴莲[微笑R][微笑R][派对R][派对R][派对R]疯狂心动金鞍焕彩迎新岁，玉辔生辉贺马年。愿君策马扬鞭时，蹄下生风破云霄。门庭骐骥踏春至，家宅祥麟献瑞来。敬颂春祺，恭祝新岁安康顺遂，事业一马平川，鸿运马不停蹄！哇塞我爱了吧哈哈哈，太喜欢了哦！亿点点心动💗👯 👯搓搓小手期待好运嘻嘻嘻！迫不及待冲冲冲！[哇][哇][哇]岁岁年年[哇R][庆祝R]新年的仪式感藏在每份小礼物里🎁拆开包装的瞬间，满是被惦念的温暖与欢喜[种草R]细碎的美好如约而至[烟花R]岁岁年年的美好期许，都在这份惊喜里慢慢绽放[亲一个R]愿2026，被爱包围，被美好眷顾[庆祝R]
c3 | 想要！[派对R]
c4 | 产地：韩国，产品名：农心辛拉面Black版，推荐理由：比普通版汤底更浓郁，加了真实骨汤，面条劲道耐煮，夜宵来一碗超满足，一直没在全球购看到，超期待上架！
c5 | 泰国榴莲
c6 | 泰国～金枕榴莲～[害羞R][害羞R]爱的无法自拔[飞吻R]
c7 | 产地：西班牙，产品名：巴布洛原味西班牙火腿片，推荐理由：咸香入味，肉质紧实，风味正宗，开袋即食，搭配面包、沙拉都绝了，想在全球购买到！
c8 | 澳大利亚的车厘子
c9 | 产地：印尼，产品名：丽芝士纳宝帝威化饼奶酪味，推荐理由：奶酪香味浓郁，甜而不腻，酥酥脆脆，印尼超人气零食，希望能在全球购买到。
c10 | 产地：德国，产品名：百乐顺经典黄油饼干，推荐理由：黄油香味浓郁，酥酥脆脆，配料干净，老人小孩都爱吃，德国老牌零食，求全球购上架！
c11 | 澳大利亚的车厘子
c12 | 我真的太想推荐这款来自马来西亚的猫山王榴莲冰皮月饼了！每年中秋前后，我都会疯狂想念它的味道，可惜在国内很难买到正宗的。它的外皮是那种薄如蝉翼的冰皮，软糯Q弹，轻轻一咬就会爆浆，里面的榴莲内馅是用新鲜猫山王榴莲制作的，果肉纤维清晰可见，口感绵密细腻，甜度恰到好处，完全不会腻。每一口都能感受到浓郁的榴莲香气在口腔中迸发，仿佛置身于马来西亚的榴莲园里。
c13 | 产地：马来西亚，产品名：槟城正宗白咖啡原味，推荐理由：口感顺滑香醇，不酸不苦，冲泡方便，喝起来回甘明显，是很多人的早餐必备，还没在全球购买到。
c14 | 是谁还没吃到Kurkure辣... 必须是，印度得，kurkure，真的超级的好吃、味道是让人越吃越上瘾的
c15 | 谁懂这颗巧克力的含金量
c16 | 产地：泰国，产品名：玛喜泰海苔原味，推荐理由：薄脆鲜香，不油不腻，咸淡适中，追剧解馋小零食，泰国人气很高，希望全球购能安排上！
c17 | 产地：奥地利，产品名：莱家威化饼提拉米苏味，推荐理由：夹心饱满，威化酥脆，提拉米苏风味超还原，一口一个停不下来，期待上架。
c18 | 产地：英国
产品：Asda薄荷夹心巧克力
理由：疫情前沃尔玛有售后来没有了，想念[偷笑R][飞吻R]
c19 | 产地：瑞士，产品名：三角黑巧克力经典款，推荐理由：内含坚果与巧克力融合，口感丰富，可可味浓郁，瑞士老牌经典，很想在全球购购入。
c20 | 产地：新西兰，产品名：安佳稀奶油原味奶酪，推荐理由：质地细腻，奶香纯正，涂抹面包超合适，家用烘焙也常用，全球购还没看到这款。
c21 | 澳大利亚的车厘子[派对R]，智利的吃不了，吃澳大利亚的[害羞R]
c22 | 2026你好
c23 | 产地：美国，产品名：品客洋葱味薯片，推荐理由：香气浓郁，片片酥脆，味道经典又上头，国外超火，国内很难买到，希望全球购可以安排！
c24 | 产地：加拿大，产品名：丹帝全麦早餐麦片，推荐理由：配料天然，高纤维，口感醇厚，饱腹感强，适合减脂期和早餐食用，全球购未上架。
c25 | 我超爱[doge]这款大马巧克力吐司（massimo）pick me～
c26 | 产地：希腊，产品名：欧若利原味希腊酸奶，推荐理由：质地浓稠，蛋白质高，酸甜适中，代餐、搭配水果都超合适，健康又美味。
c27 | 产地：波兰，产品名：爱莲巧大头娃娃牛奶饼干，推荐理由：口感扎实，奶香浓郁，性价比高，饱腹感强，当早餐下午茶都很棒。
